Title,Features,Ratings,Price
"Thomson 10 kg Semi Automatic Top Load Black, White","Thomson 10 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹11,490"
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White","LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White4.511,205 Ratings & 854 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG",4.5,"₹12,490"
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon","MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon4.357,655 Ratings & 6,550 Reviews1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.3,"₹7,190"
"SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple","SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple4.418,424 Ratings & 1,430 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.4,"₹11,290"
"Thomson 6.5 kg with Semi Automatic Top Load Blue, White","Thomson 6.5 kg with Semi Automatic Top Load Blue, White43,345 Ratings & 321 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor",4,"₹7,690"
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.21,698 Ratings & 172 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.2,"₹15,240"
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.310,890 Ratings & 1,107 Reviews1000 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty and 10 Years Spares Support",4.3,"₹28,390"
"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey4.49,306 Ratings & 811 Reviews1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor",4.4,"₹9,990"
Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White,"Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White41,352 Ratings & 249 Reviews1200 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor",4,"₹22,990"
"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.32,223 Ratings & 197 Reviews1200 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support",4.3,"₹34,990"
